"Date","HomeTeam","AwayTeam","FTR","B365H","B365D","B365A"
2015-05-16,"Sampdoria","Lazio","A",3.25,3.25,2.25
2015-05-17,"Atalanta","Genoa","A",2.55,3.3,2.8
2015-05-17,"Cagliari","Palermo","A",2.05,3.6,3.5
2015-05-17,"Roma","Udinese","H",1.3,5.5,10
2015-05-17,"Sassuolo","Milan","H",3.25,3.4,2.2
2015-05-17,"Torino","Chievo","H",1.7,3.6,5.5
2015-05-17,"Verona","Empoli","H",2.6,3.3,2.75
2015-05-18,"Fiorentina","Parma","H",1.22,6.5,13
2015-05-18,"Napoli","Cesena","H",1.18,7,17
2015-05-23,"Genoa","Inter","H",2.55,3.5,2.7
2015-05-23,"Juventus","Napoli","H",3,3.3,2.4
2015-05-24,"Cesena","Cagliari","A",2.55,3.5,2.7
2015-05-24,"Chievo","Atalanta","D",2.1,3.4,3.5
2015-05-24,"Empoli","Sampdoria","D",2.4,3.4,2.9
2015-05-24,"Milan","Torino","H",2.5,3.3,2.88
2015-05-24,"Palermo","Fiorentina","A",3.4,3.5,2.15
2015-05-24,"Parma","Verona","D",2.63,3.5,2.63
2015-05-24,"Udinese","Sassuolo","A",2.05,3.5,3.6
2015-05-25,"Lazio","Roma","A",2.4,3.3,3
2015-05-30,"Atalanta","Milan","A",2.75,3.5,2.5
2015-05-30,"Verona","Juventus","D",5,3.75,1.7
2015-05-31,"Cagliari","Udinese","H",2.25,3.5,3.1
2015-05-31,"Fiorentina","Chievo","H",1.4,5,7.5
2015-05-31,"Inter","Empoli","H",1.53,4.33,6
2015-05-31,"Napoli","Lazio","A",2.1,3.5,3.5
2015-05-31,"Roma","Palermo","A",1.4,5,7.5
2015-05-31,"Sampdoria","Parma","D",1.36,5.25,8
2015-05-31,"Sassuolo","Genoa","H",2.9,3.5,2.4
2015-05-31,"Torino","Cesena","H",1.36,5,8.5
2013-08-24,"Sampdoria","Juventus","A",8,4,1.45
2013-08-24,"Verona","Milan","H",4.75,3.6,1.75
2013-08-25,"Cagliari","Atalanta","H",2.5,3,3
2013-08-25,"Inter","Genoa","H",1.62,3.75,5.5
2013-08-25,"Lazio","Udinese","H",2,3.4,3.75
2013-08-25,"Livorno","Roma","A",3.6,3.5,2
2013-08-25,"Napoli","Bologna","H",1.36,4.75,8.5
2013-08-25,"Parma","Chievo","D",1.85,3.5,4.2
2013-08-25,"Torino","Sassuolo","H",2,3.3,3.8
2013-08-26,"Fiorentina","Catania","H",1.44,4.2,7.5
2013-08-31,"Chievo","Napoli","A",4.75,3.5,1.75
2013-08-31,"Juventus","Lazio","H",1.36,4.5,9
2013-09-01,"Atalanta","Torino","H",2.1,3.2,3.6
2013-09-01,"Bologna","Sampdoria","D",2.2,3.25,3.3
2013-09-01,"Catania","Inter","A",2.75,3.2,2.6
2013-09-01,"Genoa","Fiorentina","A",4,3.3,1.95
2013-09-01,"Milan","Cagliari","H",1.4,4.5,7.5
2013-09-01,"Roma","Verona","H",1.4,4.5,8
2013-09-01,"Sassuolo","Livorno","A",1.95,3.2,4.2
2013-09-01,"Udinese","Parma","H",2.1,3.25,3.6
2013-09-14,"Inter","Juventus","D",3.5,3.3,2.1
2013-09-14,"Napoli","Atalanta","H",1.36,4.75,8.5
2013-09-14,"Torino","Milan","D",4.75,3.6,1.73
2013-09-15,"Fiorentina","Cagliari","D",1.44,4.33,7
2013-09-15,"Lazio","Chievo","H",1.67,3.75,5
2013-09-15,"Livorno","Catania","H",2.5,3.2,2.88
2013-09-15,"Sampdoria","Genoa","A",2.4,3.1,3.1
2013-09-15,"Udinese","Bologna","D",1.8,3.5,4.5
2013-09-15,"Verona","Sassuolo","H",2.25,3.2,3.25
2013-09-16,"Parma","Roma","A",3.1,3.3,2.3
2013-09-21,"Cagliari","Sampdoria","D",2.1,3.2,3.6
2013-09-21,"Chievo","Udinese","H",2.75,3.2,2.6
2013-09-21,"Genoa","Livorno","D",1.75,3.5,4.75
2013-09-22,"Atalanta","Fiorentina","A",2.8,3.4,2.4
2013-09-22,"Bologna","Torino","A",2.15,3.2,3.5
2013-09-22,"Catania","Parma","D",2.05,3.25,3.75
2013-09-22,"Juventus","Verona","H",1.17,7,15
2013-09-22,"Milan","Napoli","A",2.5,3.4,2.7
2013-09-22,"Roma","Lazio","H",2.1,3.4,3.4
2013-09-22,"Sassuolo","Inter","A",4.5,3.75,1.75
2013-09-24,"Udinese","Genoa","H",1.83,3.4,4.5
2013-09-25,"Bologna","Milan","D",3.4,3.4,2.1
2013-09-25,"Chievo","Juventus","A",7.5,4.2,1.44
2013-09-25,"Lazio","Catania","H",1.57,3.75,6
2013-09-25,"Livorno","Cagliari","D",2.75,3.1,2.63
2013-09-25,"Napoli","Sassuolo","D",1.17,7,15
